Decentralized Stochastic Optimal Power Flow Problem Considering Prohibited Operating Zones and Renewables Sources

Authors: Lucas do Carmo Yamaguti (lucas.yamaguti@unesp.br), Juan M. Home-Ortiz (juan.home@unesp.br), 
Mahdi Pourakbari-Kasmaei (mahdi.pourakbari@aalto.fi), Senior Member, IEEE, and José Roberto Sanches Mantovani 
(mant@dee.feis.unesp.br), Member, IEEE.

-- UNDER REVIEW --

Season	Area	Level	π_t^D [p.u]		μ_t^D		π_t^W  [m/s]	μ_t^W		π_t^I  [W/m^2 ]	μ_t^I

Winter	   1	Heavy	1.13			0.30		5.34			0.30		243.61			0.30
		   1	Nominal	1.09			0.40		3.20			0.40		 25.80			0.11
		   1	Light	1.06			0.30		1.64			0.30		  0.00			0.59
		   2	Heavy	1.04			0.30		5.30			0.30		221.18			0.30
		   2	Nominal	1.01			0.40		3.19			0.40		 24.12			0.11
		   2	Light	0.99			0.30		1.08			0.30		  0.00			0.59
		   3	Heavy	1.05			0.30		5.01			0.30		271.71			0.30
		   3	Nominal	1.02			0.40		2.58			0.40		 32.63			0.11
		   3	Light	1.00			0.30		0.98			0.30		  0.00			0.59
----------------------------------------------------------------------------------------------------		   
Spring     1	Heavy	0.88			0.30		4.25			0.30		570.03			0.30
           1	Nominal	0.82			0.40		2.26			0.40		 96.90			0.24
           1	Light	0.75			0.30		1.08			0.30		  0.00			0.46
           2	Heavy	1.13			0.30		5.34			0.30		554.02			0.30
           2	Nominal	1.09			0.40		3.20			0.40		 95.58			0.11
           2	Light	1.06			0.30		1.64			0.30		  0.00			0.59
           3	Heavy	1.13			0.30		5.34			0.30		591.51			0.30
           3	Nominal	1.09			0.40		3.20			0.40		115.56			0.11
           3	Light	1.06			0.30		1.64			0.30		  0.00			0.59
----------------------------------------------------------------------------------------------------		   
Summer     1	Heavy	1.02			0.30		5.63			0.30		564.14			0.30
           1	Nominal	0.96			0.40		3.19			0.40		 93.35			0.24
           1	Light	0.92			0.30		1.47			0.30		  0.00			0.46
           2	Heavy	1.13			0.30		6.00			0.30		551.67			0.30
           2	Nominal	1.09			0.40		3.20			0.40		 94.23			0.11
           2	Light	1.06			0.30		1.48			0.30		  0.00			0.59
           3	Heavy	1.13			0.30		5.55			0.30		575.44			0.30
           3	Nominal	1.09			0.40		3.04			0.40		103.92			0.11
           3	Light	1.06			0.30		1.25			0.30		  0.00			0.59
----------------------------------------------------------------------------------------------------		   
Fall       1	Heavy	0.70			0.30		5.99			0.30		236.93			0.30
           1	Nominal	0.67			0.40		3.22			0.40		 15.32			0.12
           1	Light	0.60			0.30		1.48			0.30		  0.00			0.58
           2	Heavy	1.13			0.30		4.97			0.30		203.07			0.30
           2	Nominal	1.09			0.40		2.26			0.40		 17.49			0.11
           2	Light	1.06			0.30		1.47			0.30		  0.00			0.59
           3	Heavy	1.13			0.30		4.97			0.30		269.03			0.30
           3	Nominal	1.09			0.40		2.04			0.40		 34.80			0.11
           3	Light	1.06			0.30		1.36			0.30		  0.00			0.59
----------------------------------------------------------------------------------------------------		   
